"Organização - Nome","Organização - Atividade econômica","Organização - Negócios em aberto","Organização - Pessoas","Organização - Negócios ganhos","Organização - Negócios perdidos","Organização - Tipo","Organização - Atividades concluídas","Organização - Número de mensagens de e-mail","Organização - Cidade (sede do MKT)","Organização - # Pessoas no MKT","Organização - Investimento MKT (ano)","Organização - UF","Organização - Canal","Organização - Porte","Organização - Nível de satisfação"
"CRO RS","","2","0","0","0","","2","0","","0","","","","",""
"CRO RS","","0","0","0","0","","0","0","","0","","","","",""
"CUB","","0","0","0","0","","0","0","","0","","","","",""
"CUBOCC (SP)","","0","1","0","1","","0","0","","0","","","","",""
"Cultura Inglesa","","0","1","0","1","","1","0","","0","","","","",""
"Cultura Inglesa","","0","0","0","0","","0","0","","0","","","","",""
"Cultura Inglesa","","0","0","0","0","","0","0","","0","","","","",""
"Cyrela","Construção e Imobiliário","0","0","3","0","anunciante","1","0","Londrina","5","acima R$ 5 Mi","Paraná","agência","Grande",""
"Cyrela / Goldzstein","","0","0","0","0","","0","0","","0","","","","",""
"D/Araújo (SC)","","1","0","0","1","","2","0","","0","","","","",""
"DAER","","0","0","0","1","","1","0","","0","","","","",""
"DAER","","0","0","0","0","","0","0","","0","","","","",""
"Daju","","1","1","0","0","","0","0","","0","","","","",""
"Dakota","Couro e Calçados","0","0","0","1","anunciante","3","0","Nova Petrópolis","3","acima R$ 5 Mi","Rio Grande do Sul","agência","Médio",""
"Dália Alimentos","Alimentos e Bebidas","2","1","0","0","anunciante","1","0","Encantado","0","R$ 100 a 999 Mil","Rio Grande do Sul","direto","Grande",""
"Dalia Alimentos","","1","0","0","0","","0","0","","0","","","","",""
"Daniel Cassin","","0","0","0","0","","0","0","","0","","","","",""
"Daspre","","0","1","0","0","","1","0","","0","","","","",""
"DeBrito (RS)","","0","1","0","0","","3","0","","0","","","","",""
"Decatlhon","","0","0","1","0","","0","0","","0","","","","",""
"Decoratta","","0","0","0","0","","0","0","","0","","","","",""
"Dell","","1","2","15","1","anunciante","4","0","Eldorado do Sul","0","","","","",""
"Dell Anno","","0","0","0","0","","0","0","","0","","","","",""
"DentalCremer","","0","1","0","1","","1","0","","0","","","","",""
"Desconhecido PR","","0","0","0","0","","0","0","","0","","","","",""
"Detran PR","","0","0","0","1","","2","0","","0","","","","",""
"Detran RS","","1","0","0","1","","0","0","","0","","","","",""
